Index,Model,Features,Countantom-avg,Countantom-med,Countantom-stdev,Ganak-avg,Ganak-med,Ganak-stdev,Sharpsat-avg,Sharpsat-med,Sharpsat-stdev,D4query-avg,D4query-med,D4query-stdev,Ddknnifec2d-avg,Ddknnifec2d-med,Ddknnifec2d-stdev,Queryc2d-avg,Queryc2d-med,Queryc2d-stdev,Ddknnifedsharp-avg,Ddknnifedsharp-med,Ddknnifedsharp-stdev,Ddnnifed4-avg,Ddnnifed4-med,Ddnnifed4-stdev,Queryd4-avg,Queryd4-med,Queryd4-stdev
25,cnf/confidential/automotive03/03latest.dimacs,588,88.4805116713885,89.2836929173209,3.12526130411297,9.63315096823499,9.61347691831179,0.077781805701982,12.1964114261651,12.4100386190694,0.431730653512046,0.349437101185322,0.346673178486526,0.010601583234994,4.95213858858682,4.91169215110131,0.347946883363801,6.3949317621626,6.35111251473427,0.346800799238915,0.120183608373627,0.117228478658944,0.015518734644959,0.148881179951131,0.143629595637322,0.012602481482833,0.940543779991567,0.93562427535653,0.013638440788806
26,cnf/Smarch/axTLS.dimacs,684,32.4468944776477,33.2143664711621,1.85940814432992,5.19404291812331,5.2064079772681,0.075929108886782,7.38838300545234,7.37369966565166,0.078525664438389,0.109283878654242,0.10874448530376,0.002536344401536,4.39458229703829,4.38347266172059,0.267241446479441,4.74251907103695,4.72980684298091,0.26805296210696,0.101736035682261,0.066519806394354,0.184475782764132,0.069867562241853,0.06847373675555,0.007842575512222,0.257670080764219,0.256195631809533,0.010903679141039
27,cnf/financial_services/financialServices_2018-05-09.dimacs,771,196.88725947313,197.469057014212,1.98857112869488,18.3910816343315,18.3736459675711,0.104823447779549,18.5781206958322,18.3840492857853,0.494159306292261,0.873178877457976,0.865790665149689,0.020099547145065,10.892181189945,10.9180027928669,0.41407928635534,16.8471073502209,16.887821050128,0.464608441984035,1.19398745778017,1.19247310957871,0.020312599861852,0.589012279137969,0.577998627908529,0.025644218354881,4.09128185149282,4.10476026451215,0.036623955414476
28,cnf/KConfig/busybox-1.18.0.dimacs,854,93.0110364057915,93.894338587299,3.38764650679966,7.3933909926191,7.37131391582079,0.102227091775164,7.3747824587056,7.34913087647874,0.144064322039536,0.221029675379395,0.217027680017054,0.012330799365793,2.25311833684333,2.25270137516782,0.154461836995509,3.64255543584004,3.63145229243673,0.15609622177357,0.077711019925773,0.07838601898402,0.00515682294948,0.075835835710168,0.075001602992416,0.003063298485425,1.39610047273338,1.39412650000304,0.031234899936574
29,cnf/Smarch/busybox_1_28_0.dimacs,998,184.691209671665,184.717606887222,0.366182795763087,256.109013373153,256.124272299232,2.13087489881264,255.622680163453,254.974215720082,5.70358426661369,0.727631979361177,0.723716085776687,0.010243169324237,2.04532673449256,2.06427538278513,0.131033572421072,8.1428888767492,8.1469290656969,0.132527919502973,15.4982176709175,15.4785736396443,0.190626845325249,0.155952114500106,0.157612374052405,0.007190697312003,13.7700368913449,13.5102477082982,0.430874741733627
30,cnf/CDL/am31_sim.dimacs,1178,437.183800396877,436.90657151991,1.98131771895558,845.307646353673,845.267063050065,1.17726244187469,584.270848785528,583.948609946994,2.86408465041697,20.123362974003,20.1432991120964,0.080372813468881,24.9882989578601,24.8815829758532,0.865459739130851,358.722084906828,358.676078563323,3.9904291332061,25.6062139962986,25.6428797396366,0.52875390870419,6.37492854990065,6.52067517116666,0.250367785343898,329.338102884991,332.63351018005,16.1284885442958
31,cnf/KConfig/embtoolkit.dimacs,1179,157.231247687261,159.124691640493,6.25975512908912,27.0967069983296,27.0810867047403,0.276626344841781,29.1398414238042,29.1616587425815,0.220654156011187,0.611147665046155,0.609650855883956,0.006233522734291,8.88519231730141,8.82030331087299,0.525291756825146,11.6999892333709,11.6325910768937,0.521747492611406,0.191957844002172,0.18777040974237,0.010481182937046,0.149073668420315,0.153776186518371,0.011420095279525,3.50715845498256,3.49730859906413,0.047117164812335
32,cnf/Smarch/ref4955.dimacs,1218,595.902567748809,595.525944425492,3.23237586288611,1800,1800,0,1800,1800,0,153.736866043471,153.470453156158,2.77277813872268,30.9423367726244,30.7656689449213,1.70695416378298,352.796268788669,351.31754765613,5.87305252835733,178.548204337722,175.486488203052,12.178212473703,52.8663044933602,52.5597177417949,0.718110294977725,1135.25821897971,1132.72713477001,18.4217078940211
33,cnf/Smarch/ecos-icse11.dimacs,1244,722.537114860974,723.197229358251,3.72017547452822,1800,1800,0,1800,1800,0,76.272486808002,75.878315682523,0.881929875076391,38.9787172669731,39.3186697715427,2.32462536762324,527.165629693493,526.880344327306,7.20171615282816,608.555984382043,607.585444880649,4.45210308707871,24.241307617873,24.3789951633662,0.371394270178265,727.210788091542,731.458351437468,14.9995106407716
34,cnf/Smarch/pati.dimacs,1248,723.162070953595,723.385736449389,4.37603540153679,1800,1800,0,1800,1800,0,57.0118499785289,57.0163828916848,0.209326554022115,35.38254594367,34.9048634460196,2.67345644851255,433.954967963444,433.216307844269,3.58754149530015,193.829783970742,192.185248860391,12.8667822506438,23.6435037869588,23.642342787236,0.140051823773261,1383.85393779713,1378.44874247094,16.2388114346872
35,cnf/CDL/p2106.dimacs,1262,569.588824637989,569.896881152993,2.51819761772567,1674.02282076906,1673.55735153729,4.66359072227266,1208.67740777444,1208.5676785358,1.7888011537353,54.9108158500493,54.8641094891354,0.278746931158898,14.8436231643613,14.7370600157883,0.824921512213911,212.436602583379,213.293479955522,3.08589265307293,42.7797528625,42.8435857237782,0.658388392006393,16.97450985495,17.0014754291624,0.111384795290337,782.075624944242,778.169974419288,14.6459101825433
