Index,Model,Features,Countantom-avg,Countantom-med,Countantom-stdev,Ganak-avg,Ganak-med,Ganak-stdev,Sharpsat-avg,Sharpsat-med,Sharpsat-stdev,C2d-avg,C2d-med,C2d-stdev,D4-avg,D4-med,D4-stdev,D4new-avg,D4new-med,D4new-stdev,Dsharp-avg,Dsharp-med,Dsharp-stdev
11,cnf/Smarch/JHipster.dimacs,45,300,300,0,0.006895953532075,0.006824094569311,0.000921655772788,0.007672850554809,0.007672850554809,0.001044157006327,0.287420990569517,0.287568312836811,0.009133300009023,0.018819227470085,0.018737264443189,0.001662263423324,0.037932228855789,0.037145076319575,0.00280005790327,0.019823790881783,0.018503545084968,0.00291370976069
12,cnf/featureide_examples/berkeleydb.dimacs,76,0.09092029002728,0.096827673492953,0.0090503961374,0.006771316771628,0.006690588401398,0.000868739093418,0.007365327440202,0.007365327440202,0.001213242537628,0.408320120535791,0.408150014467537,0.012313557229815,0.021179656693712,0.022111107828096,0.00342047483325,0.040647217743099,0.04066429939121,0.002308209107617,0.014559345981106,0.014109632233158,0.005980563388166
13,cnf/Smarch/axtls_2_1_4.dimacs,94,0.091901236462873,0.095125698484481,0.007455115614788,0.006930242992239,0.00679963247967,0.000875184345681,0.008154386237729,0.008154386237729,0.001221652445512,0.529197247317061,0.527229355415329,0.009908782990847,0.02103778090328,0.020955932326615,0.002358648468769,0.038062490187585,0.03801300842315,0.00381612064782,0.024371875999495,0.01741548627615,0.020975096645688
14,cnf/KConfig/axTLS.dimacs,96,0.092025210194988,0.094814997486538,0.006948130557182,0.006706221672939,0.006622881395742,0.000945269430125,0.007087256622035,0.007087256622035,0.000984767259837,0.460176367787644,0.459712672512978,0.007965188963829,0.02048835487105,0.021505254786462,0.003241219541291,0.038237085342407,0.039394270628691,0.00424182355387,0.014767410131171,0.015077304560691,0.005071674502563
15,cnf/Smarch/fiasco_17_10.dimacs,234,0.118372181687737,0.119882375001907,0.014035000714296,0.012240289644106,0.011970107152593,0.002017371141532,0.01293584459927,0.01293584459927,0.002397060996857,1.20002945722081,1.20915787876584,0.109093812826077,0.041531126070768,0.04296642029658,0.005007806737178,0.045845260024071,0.044680260121822,0.006162782876862,0.033056788863614,0.032696647569537,0.004367073696598
16,cnf/Smarch/uClibc-ng_1_0_29.dimacs,269,0.121564153076615,0.117859476478771,0.012027007484477,0.011299844550668,0.011095219000709,0.001841038231705,0.011309343961766,0.011309343961766,0.001824881441678,0.856834092009813,0.855732364580035,0.114694943953497,0.046696097655222,0.047353899572045,0.002303230705776,0.056310013644397,0.057184785604477,0.002115729908357,0.042724691443145,0.039618101669476,0.046352920916908
17,cnf/KConfig/uClibc.dimacs,313,0.111885483632795,0.113262464001309,0.006203491318386,0.009689046052517,0.009614662907552,0.00191368033477,0.010682203405304,0.010682203405304,0.00162740030033,1.5583281384781,1.55268931784667,0.123216508429911,0.039111950574443,0.039104847004637,0.004918698308434,0.063418677039445,0.066728974692524,0.00584474922308,0.047275227727369,0.037850460968912,0.010409272899445
18,cnf/Smarch/toybox_0_7_5.dimacs,316,0.080661170897074,0.08072731923312,0.007467990717884,0.007040923262248,0.006958585930988,0.000899832750054,0.007159917037934,0.007159917037934,0.00124764626875,0.265211221482605,0.265569614013657,0.004563688957211,0.01716362150386,0.01765035931021,0.002408717875938,0.038130090795457,0.03864596132189,0.002438622077376,0.026681213658303,0.019812073325738,0.000294708874762
19,cnf/KConfig/uClinux-base.dimacs,380,0.131197428040905,0.130757132545114,0.002195893019274,0.013558379141614,0.012977089965716,0.002554950469717,0.014554136913503,0.014554136913503,0.001382518929578,2.00467007744126,2.03524415800348,0.266125556186461,0.081213639909402,0.086131764343008,0.009344369430189,0.110732843503356,0.1110386159271,0.00667568219698,0.045985166653991,0.038849085103721,0.000981313305685
20,cnf/confidential/automotive03/automotive03.dimacs,384,0.095986378042726,0.100322646001587,0.008001424128499,0.01038734395639,0.010308012977476,0.001230436196207,0.010352646333631,0.010352646333631,0.000911392706684,2.19926967428997,2.23008596361615,0.123040062124176,0.032407129146159,0.032820470398292,0.003747651951766,0.043275315761566,0.042899856343865,0.004531611417707,0.031030738288537,0.026961283525452,0.004328213972999
21,cnf/confidential/automotive06/automotive06.dimacs,449,0.106632953365333,0.106319918530062,0.012663939199986,0.012156893125503,0.011348347499734,0.002201298938213,0.013562469334575,0.013562469334575,0.001929885629607,2.60839041288011,2.60490186465904,0.170059151821917,0.038799740299583,0.039328014478088,0.002874129639133,0.050133113972843,0.050944685935974,0.002052621891839,0.048963005645201,0.050608471501619,0.005162890819453
22,cnf/confidential/automotive04/04latest.dimacs,531,0.150093136314536,0.147297762101516,0.014361858267099,0.017218612547731,0.017330993054202,0.002007479173406,0.015373432526831,0.015373432526831,0.002150904952245,3.1957316455245,3.20507293194532,0.387353287384797,0.119830576190725,0.118187846150249,0.006687814285908,0.137337154150009,0.13524161465466,0.010508169602673,0.043164271712303,0.039543400518596,0.003500102815289
23,cnf/Smarch/toybox.dimacs,544,0.080123367885826,0.080050897900947,0.005439639985963,0.008241729289293,0.00805949466303,0.001503898034696,0.008343357404228,0.008343357404228,0.001202032476737,3.02047562876716,3.01635904493742,0.022123486244738,0.021252413420007,0.02135020843707,0.002799976346945,0.040835243947804,0.041066417470574,0.002571794198157,0.042967573516071,0.03899912443012,0.041844310200477
24,cnf/confidential/automotive07/automotive07.dimacs,581,0.198597420224687,0.201758417853853,0.011283387499218,0.053089144997066,0.053139724506764,0.004814264735418,0.046169600677677,0.046169600677677,0.001968722373874,4.11225375705399,4.05508176796138,0.224081435878355,0.191321783047169,0.187387231970206,0.013883392480477,0.151522029303014,0.148769957013428,0.011657049656091,0.239145099911839,0.240160355344415,0.011609724463423
25,cnf/confidential/automotive03/03latest.dimacs,588,0.145174776635831,0.141657766420394,0.012354773742793,0.016930591725977,0.016812724032207,0.002269740591798,0.024117251829011,0.024117251829011,0.002561691701023,4.91196964071132,4.87030978896655,0.348164995182553,0.09000982654281,0.084714983124286,0.011831906210887,0.098209323398769,0.094005264341831,0.012391322418018,0.077610593121499,0.072863893350586,0.00984197664776
26,cnf/Smarch/axTLS.dimacs,684,0.100104118657764,0.105321580078453,0.009183590771348,0.011422413607361,0.010651063348632,0.002119437889598,0.012926275894279,0.012926275894279,0.002103654599549,4.38352580025792,4.37234511459246,0.267384732793838,0.052850984027609,0.055564671056345,0.006251707932702,0.050908675082028,0.049609582871199,0.007261885941091,0.075721120964736,0.038003502413631,0.048711691684334
27,cnf/financial_services/financialServices_2018-05-09.dimacs,771,1.8952836106706,1.9058925465215,0.083144464991131,0.067220948854229,0.066758895904059,0.007274590515069,0.08107634430984,0.08107634430984,0.009402253222495,10.7606360676792,10.7875197979156,0.414544365657255,0.294229320902377,0.291170239914209,0.013158162106312,0.348148892112076,0.34544300287962,0.015114008306857,0.818366071498021,0.816682860255241,0.014921972189454
28,cnf/KConfig/busybox-1.18.0.dimacs,854,0.111149842592422,0.110996774339582,0.003942239015776,0.011510368464515,0.011108367471025,0.001811808280801,0.010755934984773,0.010755934984773,0.001813413413448,2.22897216368467,2.22839489206672,0.154213048235285,0.034634724138305,0.03537083719857,0.003968792879368,0.047949644215405,0.047296731732786,0.002341497270429,0.042645682264119,0.04194594733417,0.003700596361472
29,cnf/Smarch/busybox_1_28_0.dimacs,998,0.213582722262945,0.214393578382441,0.004905945075524,0.381320204905933,0.392692245543004,0.019178087428323,0.380688256463036,0.380688256463036,0.017902380101615,1.9430937314406,1.95886570983566,0.131245811092448,0.084958133623004,0.08203772874549,0.007890984441721,0.066531574688852,0.06681097112596,0.004969357579107,9.11717056915164,9.08856504061259,0.192083797155977
30,cnf/CDL/am31_sim.dimacs,1178,0.483375803080853,0.482231167989085,0.023142724059842,1.10200253961491,1.11725419812138,0.056216037256362,0.679291820717626,0.679291820717626,0.017622978246447,5.25172988338396,5.08802424510941,0.833208034701351,2.86452335658483,2.86677760002203,0.049222345508326,1.93273421034217,1.93762182909995,0.017573528621222,10.3997004192416,10.4779752616305,0.618026813303061
