Model,C2d-avg,C2d-med,C2d-stdev,d4-avg,d4-med,d4-stdev,d4-avg,d4-med,d4-stdev,Dsharp-avg,Dsharp-med,Dsharp-stdev,Index
Smarch/7z.dimacs,0.232909667445347,0.238483864581212,0.025377679643722,0.020371553553268,0.020943175535649,0.004166785263739,0.0371163347736,0.03775907959789,0.004194992120752,0.27740297852084,0.017904230393469,0.001511259876327,14
Smarch/BerkeleyDBC.dimacs,0.067863219985738,0.066384543199092,0.007289677456993,0.016265867333859,0.016054359031841,0.0030193554727,0.0367883483693,0.035497455857694,0.002362609766363,0.01792626532726,0.016671684570611,0.008105874859156,15
Smarch/Dune.dimacs,0.053491422049701,0.05373720638454,0.007443380265255,0.016375626903027,0.015773015562445,0.002222650372237,0.036692561022937,0.035790095105767,0.002143693478174,0.021606062520295,0.017729178536683,0.00520705742397,16
Smarch/HiPAcc.dimacs,0.232414204636589,0.232205192558467,0.009668122684068,0.018372822357342,0.017722769407556,0.002177427280427,0.038457709699869,0.039399017579854,0.002744761127101,0.020604530749843,0.017647708998993,0.006343613707061,17
Smarch/JHipster.dimacs,0.287420990569517,0.287568312836811,0.009133300009023,0.018819227470085,0.018737264443189,0.001662263423324,0.037932228855789,0.037145076319575,0.00280005790327,0.019823790881783,0.018503545084968,0.00291370976069,18
Smarch/JavaGC.dimacs,0.287704268889502,0.287900721654296,0.003861988208362,0.019599137092009,0.019389254041016,0.001857891620862,0.040239052474499,0.040515494532883,0.001785083046031,0.023119094837457,0.019009120063856,0.006378926509941,19
Smarch/LLVM.dimacs,0.009189202832058,0.009542943211272,0.002101943817857,0.015545006897301,0.015019325073809,0.001913816107654,0.036974575854838,0.036417535506189,0.002440583969959,0.020668923491612,0.017786231124774,0.012068925573206,20
Smarch/Polly.dimacs,0.285691107660532,0.284718374023214,0.005956203555872,0.020159540530294,0.019485402852297,0.002213809190991,0.039780362509191,0.040536912158132,0.001882537756649,0.021263879984617,0.019241804955527,0.00660349413843,21
Smarch/VP9.dimacs,0.316461677085608,0.315572126535699,0.008239303614822,0.019848405607045,0.019670116482303,0.00209453685412,0.039603998586536,0.040122465230525,0.001904465901652,0.020711197005585,0.018100554356352,0.005909126784846,22
Smarch/X264.dimacs,0.035053343130276,0.035353925311938,0.004860830105602,0.016524334102869,0.016406080918387,0.002398429754732,0.036331370659173,0.035435375757516,0.00206572704332,0.017964884117246,0.013028948567808,0.028389587687154,23
Smarch/adderII.dimacs,5.69752368161455,5.2308143065311,1.42621280701651,21.8818447321095,21.8819054190535,0.232644938013474,9.94284259721637,9.93408724758774,0.035270561067106,90.1676005298272,88.6043153621722,2.23317068635764,24
Smarch/at91sam7sek.dimacs,5.83166626028717,5.7157345819287,1.23391123800996,5.38504137673415,5.37885415158235,0.184627379709544,4.44133453331888,4.43752713408321,0.013155092838936,90.0966958757583,89.3325535305776,2.48011480869345,25
Smarch/axTLS.dimacs,4.38352580025792,4.37234511459246,0.267384732793838,0.052850984027609,0.055564671056345,0.006251707932702,0.050908675082028,0.049609582871199,0.007261885941091,0.075721120964736,0.038003502413631,0.048711691684334,26
Smarch/axtls_2_1_4.dimacs,0.529197247317061,0.527229355415329,0.009908782990847,0.02103778090328,0.020955932326615,0.002358648468769,0.038062490187585,0.03801300842315,0.00381612064782,0.024371875999495,0.01741548627615,0.020975096645688,27
Smarch/buildroot.dimacs,1800,1800,0,1800,1800,0,1800,1800,0,1800,1800,0,28
Smarch/busybox-1.18.0.dimacs,38.8479358043801,38.1384657402523,3.11393868448181,0.219802454933524,0.216216639382765,0.011456342515698,0.272841226831079,0.266660856083035,0.013420565063841,0.559602691195905,0.556859954027459,0.003242482837944,29
Smarch/busybox_1_28_0.dimacs,1.9430937314406,1.95886570983566,0.131245811092448,0.084958133623004,0.08203772874549,0.007890984441721,0.066531574688852,0.06681097112596,0.004969357579107,9.11717056915164,9.08856504061259,0.192083797155977,30
Smarch/ecos-icse11.dimacs,7.0842967732437,6.77888829936273,1.16514346448622,7.37139299396426,7.36776034347713,0.114286594539544,7.90699287477881,7.90549897402525,0.01937682980934,143.463588937446,142.666656429879,0.102445011781346,31
Smarch/embtoolkit.dimacs,1504.8056848493,1800,450.619953850868,14.4375954912696,14.3854431824293,0.26300608548683,24.9652168670297,24.9673856878653,0.062691748584533,88.6670943430998,88.4482723521069,0.649251891797696,32
Smarch/fiasco.dimacs,8.1796815623343,8.20258505106904,0.794352103286768,0.074735169531778,0.076888982672244,0.007045025784514,0.094722473099828,0.09026347566396,0.012956751956202,0.108566157016903,0.110625633504242,0.011702794253831,33
