Model,Countantom-avg,Countantom-med,Countantom-stdev,Ganak-avg,Ganak-med,Ganak-stdev,Sharpsat-avg,Sharpsat-med,Sharpsat-stdev
cnf/Smarch/fiasco_17_10.dimacs,23.8900846117269,24.9510295457439,2.31222441342308,2.58425476680975,2.58436968794558,0.037783643476939,2.78016608031001,2.78150622866815,0.073838206967641
cnf/Smarch/freebsd-icse11.dimacs,410.77189985096,411.003253806266,1.72998438323727,1800,1800,0,1800,1800,0
cnf/Smarch/freetz.dimacs,1800,1800,0,1800,1800,0,1800,1800,0
cnf/Smarch/integrator_arm9.dimacs,208.505024236767,208.296254209359,1.43310766608343,407.796913468307,407.796353829326,0.839017911766597,279.691392931384,279.422126015648,1.96358550424776
cnf/Smarch/lrzip.dimacs,11.5746382912807,11.5970258355374,0.071384597274273,1.34340896277688,1.34244817704894,0.030055068163588,1.43794811257161,1.43020268413238,0.03151379403528
cnf/Smarch/m5272c3.dimacs,62.2514005333558,62.4864729624242,1.22847928010024,184.684497419447,184.836119110231,0.690805025347159,145.644861696572,145.938862737618,0.838864405928296
cnf/Smarch/olpce2294.dimacs,66.2032516786782,66.5412585048471,1.20522557760605,298.435863622185,298.520625537261,1.50014975102962,182.82856043397,182.664048606181,1.3371267633993
cnf/Smarch/pati.dimacs,62.6882679655682,62.6608815038344,0.456304071808331,183.854070555856,183.234354299726,1.39914490285456,124.589935868676,124.386541134445,0.566615441841109
cnf/Smarch/phycore229x.dimacs,68.7704583781306,68.7839896236546,0.453340269078872,343.518578214813,343.795113333268,1.41059545959862,217.242875299719,217.232304251869,0.404249013262086
cnf/Smarch/ref4955.dimacs,60.7858821169985,60.827012214344,0.872521014706983,223.725801745132,223.546081752283,1.06637293794949,135.722365108989,135.707672653371,0.281445418091511
cnf/Smarch/se77x9.dimacs,186.571326153972,186.59967393009,1.01859664063593,417.461284115119,417.252577038016,2.91937313842682,210.120566579946,209.893857368035,1.20109398831568
cnf/Smarch/toybox.dimacs,22.7498971303552,23.1470888169715,2.32924706117265,2.40982661302201,2.40973578463309,0.072359436582062,2.60844088766724,2.61960760992952,0.072179866915614
cnf/Smarch/toybox_0_7_5.dimacs,21.4180030635791,20.2799023538828,2.00199808959081,2.28970958659425,2.28837562189437,0.039055302443442,2.42038136087824,2.4137709211791,0.038433039767627
cnf/Smarch/uClibc-ng_1_0_29.dimacs,27.3966852044268,27.673430602299,0.840446995649725,2.68086374325678,2.67500493465922,0.056387183823416,2.84335077232216,2.83573851198889,0.049474524172794
cnf/Smarch/uClinux-config.dimacs,1800,1800,0,27.4938485613838,27.2473269505427,0.605535970882351,23.4300755773671,23.2597562622977,0.511181261306118
cnf/Smarch/uClinux.dimacs,24.6941869647102,25.5609395896318,1.81131937008595,3.6131358068902,3.62177144712768,0.069436707555716,3.32137584178243,3.33084002742544,0.080840004990165
cnf/automotive01/automotive01.dimacs,63.7594046456739,63.2958407106344,1.32680770002855,25.8697992123943,25.8465337723028,0.159804805053498,22.1352460228279,22.1469447296112,0.190679323836778
cnf/automotive02/automotive2_4.dimacs,1049.62009862665,1044.62994417048,9.54847689997328,128.834685945269,128.384519504616,0.882010035277926,113.924425283591,113.706617701915,1.08855219679863
cnf/featureide_examples/berkeleydb.dimacs,21.876168980808,20.5351535696537,2.34790379914531,2.25115908366628,2.25265278643928,0.050683100244165,2.52573572720401,2.49285834049806,0.09310669070217
cnf/financial_services/financialServices_2018-05-09.dimacs,50.4969369087182,50.387441718136,1.1402783843806,5.0649966062326,5.08145510288887,0.068343520253791,5.30763510152698,5.28294320148416,0.105402905343998
cnf/confidential/automotive03/03latest.dimacs,32.781214573402,33.7871780694695,2.12869356873816,4.07581226857379,4.0759792777244,0.07415053526753,4.32713566773105,4.31796524662059,0.083720134420037
cnf/confidential/automotive03/automotive03.dimacs,23.8612508745352,24.4853570306441,2.13661669749998,2.59613312399946,2.59646349819377,0.055916203240186,2.84605069537647,2.77496176515706,0.154490906176016
cnf/confidential/automotive03/automotive03_sw.dimacs,46.3159975601174,46.2668811889598,0.728632598770647,6.80509889553301,6.82051033433527,0.068320821734497,6.80767381895334,6.79844019096345,0.084270147410519
cnf/confidential/automotive04/04latest.dimacs,28.9539071616903,29.2341524846852,2.09770600685129,3.73990222986788,3.73821501177735,0.061504631145544,3.82468000198714,3.80877133738249,0.088040287132957
cnf/confidential/automotive05/05latest.dimacs,1800,1800,0,1800,1800,0,1800,1800,0
cnf/confidential/automotive06/automotive06.dimacs,26.6197660276433,27.111572097172,1.32145847581792,2.99703695802018,2.99842828605324,0.141548955331785,2.98186009867582,2.97684457281139,0.052317398022875
cnf/confidential/automotive06/automotive06_sw.dimacs,56.8729205065267,56.7629673738266,0.359160330892289,7.89931355154142,7.80727297463455,0.184239449041774,7.67065634907689,7.66854549152777,0.058651187281357
cnf/confidential/automotive07/automotive07.dimacs,31.2657176450081,32.8137088555377,2.48808762543904,5.21490938412957,5.14033103245311,0.167960045157701,4.98388190857135,4.979514838662,0.091479208616078
cnf/confidential/automotive07/automotive07_sw.dimacs,441.637172900574,441.498135378235,1.81736838890048,84.5153059571237,84.4444884860422,0.528910613493974,72.5620009867661,72.3676337960642,1.7460861748047
