Index,Model,Features,Countantom-avg,Countantom-med,Countantom-stdev,Ganak-avg,Ganak-med,Ganak-stdev,Sharpsat-avg,Sharpsat-med,Sharpsat-stdev,D4query-avg,D4query-med,D4query-stdev,Ddknnifec2d-avg,Ddknnifec2d-med,Ddknnifec2d-stdev,Queryc2d-avg,Queryc2d-med,Queryc2d-stdev,Ddknnifedsharp-avg,Ddknnifedsharp-med,Ddknnifedsharp-stdev,Ddnnifed4-avg,Ddnnifed4-med,Ddnnifed4-stdev,Queryd4-avg,Queryd4-med,Queryd4-stdev
11,cnf/Smarch/JHipster.dimacs,45,17.317340020244,16.0871162008261,1.79138765782289,1.82243771118112,1.82602719904389,0.062056484074384,1.92827235232573,1.93228870851454,0.060652619012718,0.044106238000095,0.044172494672239,0.000551717748113,0.300584908304736,0.30138501804322,0.00890251513756,0.311701652212068,0.312220859108493,0.009297886167318,0.036807123022154,0.035095304017886,0.009202980629848,0.0518786033988,0.051501842215658,0.003155167299862,0.039721176279709,0.039478903403506,0.001942684745955
12,cnf/featureide_examples/berkeleydb.dimacs,76,21.876168980808,20.5351535696537,2.34790379914531,2.25115908366628,2.25265278643928,0.050683100244165,2.52573572720401,2.49285834049806,0.09310669070217,0.046625595986843,0.046606027521193,0.001238863010257,0.425999600337818,0.426361788529903,0.012549574616999,0.46589232634753,0.464569482021034,0.012576650166815,0.038371385065839,0.038351594237611,0.00378972699156,0.063494389615953,0.064362734556199,0.003002643367172,0.061311414819211,0.061630608281121,0.004378752281551
13,cnf/Smarch/axtls_2_1_4.dimacs,94,23.8051465010736,25.194484135951,2.23950954764241,2.30176493099891,2.30843188497238,0.061111605011091,2.42832091239281,2.38995408470509,0.149907209986451,0.043304582200945,0.043424331583083,0.001076287081161,0.546609449787065,0.544896250357851,0.010238069166052,0.589798557506874,0.58798942854628,0.011265173660282,0.046633599996567,0.039700634544715,0.014563137558256,0.061221546791494,0.061390007846058,0.003927906717707,0.073051131619141,0.072901549749077,0.004825141691465
14,cnf/KConfig/axTLS.dimacs,96,20.5990631844522,19.7276625396917,1.60115205769833,2.31847372444812,2.31715884117876,0.033608209714211,2.40377071093069,2.35671708954032,0.152870128577199,0.045465123727918,0.04780912399292,0.003622385697209,0.474326418396086,0.473826922476292,0.008277572809337,0.498267573444173,0.497031266335398,0.00840848049082,0.03279459470883,0.03281734045595,0.003369999781517,0.052590817175806,0.05360543448478,0.004634100678007,0.051985894897953,0.051784226903692,0.004447228451408
15,cnf/Smarch/fiasco_17_10.dimacs,234,23.8900846117269,24.9510295457439,2.31222441342308,2.58425476680975,2.58436968794558,0.037783643476939,2.78016608031001,2.78150622866815,0.073838206967641,0.060510677658022,0.060373404994607,0.001148911165266,1.23191190954298,1.24014745978639,0.108916235015821,1.36641940691508,1.37859774706885,0.110801478287022,0.067262368798256,0.067500770092011,0.00457662905818,0.097744954563678,0.096056956797839,0.006323327884438,0.14161523135379,0.142126756021754,0.005624785366306
16,cnf/Smarch/uClibc-ng_1_0_29.dimacs,269,27.3966852044268,27.673430602299,0.840446995649725,2.68086374325678,2.67500493465922,0.056387183823416,2.84335077232216,2.83573851198889,0.049474524172794,0.069917358420789,0.07070804014802,0.001640828304257,0.893288049241528,0.89230709313415,0.114464062567738,1.06368244465441,1.06409638491459,0.114993273341011,0.086111697657034,0.08222559443675,0.015326926805587,0.106087879762054,0.1065205745399,0.002769518930612,0.31986463948153,0.317089181626216,0.008802374190637
17,cnf/KConfig/uClibc.dimacs,313,25.4475563406246,26.6473754878389,2.11089488579835,3.55177220901474,3.58824833878315,0.173332203059325,2.9625966076483,2.95406360120978,0.098345066279395,0.126058334410191,0.1293467534706,0.00819467953874,1.60890894435346,1.60398404183798,0.122784501558009,1.86667110689916,1.86222570063546,0.124524069396591,0.100743933748454,0.09178753127344,0.017882439077937,0.147483359389007,0.149479540064932,0.006380653496483,0.210327530112118,0.211290864972398,0.00842478455329
18,cnf/Smarch/toybox_0_7_5.dimacs,316,21.4180030635791,20.2799023538828,2.00199808959081,2.28970958659425,2.28837562189437,0.039055302443442,2.42038136087824,2.4137709211791,0.038433039767627,0.04108559884131,0.041070654988289,0.000922722954283,0.285425807768479,0.285606479737908,0.004880989041324,0.369828693792224,0.369859187863767,0.004869441647127,0.052308652466163,0.045513937016949,0.013068899837332,0.054384011328221,0.054930709302426,0.002933830948164,0.090513012912125,0.089927946217358,0.003818995423717
19,cnf/KConfig/uClinux-base.dimacs,380,27.3286442504311,28.8940120137995,2.28919139834365,4.46198959028814,4.52736577542964,0.266569552592196,3.98976151428884,4.01542369218078,0.13338980285021,0.137841529436409,0.137728899717331,0.000786022203111,2.05136934657581,2.08021930255927,0.265785747126686,2.26213334583677,2.29664684156887,0.267003945769157,0.100152083886787,0.094066766556352,0.015003318882618,0.15998041421175,0.160495308227837,0.007114570807757,0.285649007037282,0.29091162304394,0.01168541597517
20,cnf/confidential/automotive03/automotive03.dimacs,384,23.8612508745352,24.4853570306441,2.13661669749998,2.59613312399946,2.59646349819377,0.055916203240186,2.84605069537647,2.77496176515706,0.154490906176016,0.059812148027122,0.059724375605583,0.002560710041632,2.22255772864446,2.2539334401954,0.123090596839082,2.29457166617736,2.32555537042208,0.122326874282618,0.065485532768071,0.060848001390696,0.016885754466438,0.072710349336267,0.072537338361145,0.004928839560787,0.12128165259026,0.122457022080198,0.003984836391906
